Year,Cars,Commercial
1999,39759847,16499045
2000,41215653,17158509
2001,39825888,16479037
2002,41358394,17635924
2003,41968666,18694559
2004,44554268,19941952
2005,47046368,19673151
2006,49918578,19304397
2007,53201346,20064715
2008,52841125,17888571
2009,47772598,13989726
2010,58239494,19344025
2011,59897273,19983647
2012,63081024,21155147
2013,65745403,21850595
2014,67782035,21994430
2015,68539516,22241067
2016,72105435,22871134
2017,73456531,23846003
2018,70498388,25136912
2019,67149196,24637665
2020,55834456,21787126
2021,57054295,23091693
2022,61598650,23418078
2023,67133570,26413029	
